Capital,Country,Continent
Abidjan (former capital; still hosts some government offices),Ivory Coast (Côte d'Ivoire),Africa
Yamoussoukro (de jure),Ivory Coast (Côte d'Ivoire),Africa
Abu Dhabi,United Arab Emirates,Asia
Abuja,Nigeria,Africa
Accra,Ghana,Africa
Adamstown,Pitcairn Islands,British Overseas Territories
Addis Ababa,Ethiopia,Africa
Aden (de facto temporary),Yemen,Asia
Sanaa (de jure),Yemen,Asia
Algiers,Algeria,Africa
Alofi,Niue,Oceania
Amman,Jordan,Asia
Amsterdam (official),Netherlands,Europe
The Hague (de facto),Netherlands,Europe
Andorra la Vella,Andorra,Europe
Ankara,Turkey,Asia
Antananarivo,Madagascar,Africa
Apia,Samoa,Oceania
Ashgabat,Turkmenistan,Asia
Asmara,Eritrea,Africa
Astana,Kazakhstan,Asia
Asunción,Paraguay,South America
Athens,Greece,Europe
Avarua,Cook Islands,Oceania
Baghdad,Iraq,Asia
Baku,Azerbaijan,Asia
Bamako,Mali,Africa
Bandar Seri Begawan,Brunei,Asia
Bangkok,Thailand,Asia
Bangui,Central African Republic,Africa
Banjul,Gambia,Africa
Basseterre,Saint Kitts and Nevis,North America
Beijing,China,Asia
Beirut,Lebanon,Asia
Belgrade,Serbia,Europe
Belmopan,Belize,North America
Berlin,Germany,Europe
Bern (de facto),Switzerland,Europe
Bishkek,Kyrgyzstan,Asia
Bissau,Guinea-Bissau,Africa
Bloemfontein (judicial),South Africa,Africa
Cape Town (legislative),South Africa,Africa
Pretoria (executive),South Africa,Africa
Bogotá,Colombia,South America
Brades (de facto),Montserrat,North America
Plymouth (de jure),Montserrat,North America
Brasília,Brazil,South America
Bratislava,Slovakia,Europe
Brazzaville,Congo,Africa
Bridgetown,Barbados,North America
Brussels,Belgium,Europe
Bucharest,Romania,Europe
Budapest,Hungary,Europe
Buenos Aires,Argentina,South America
Cairo,Egypt,Africa
Canberra,Australia,Oceania
Caracas,Venezuela,South America
Castries,Saint Lucia,North America
Charlotte Amalie,United States Virgin Islands,North America
Chișinău,Moldova,Europe
Cockburn Town,Turks and Caicos Islands,North America
Colombo (executive judicial),Sri Lanka,Asia
Sri Jayawardenepura Kotte (official),Sri Lanka,Asia
Conakry,Guinea,Africa
Copenhagen,Denmark,Europe
Cotonou (de facto),Benin,Africa
Porto-Novo (official),Benin,Africa
Dakar,Senegal,Africa
Damascus,Syria,Asia
Dhaka,Bangladesh,Asia
Dili,East Timor,Asia
Djibouti,Djibouti,Africa
Dodoma,Tanzania,Africa
Doha,Qatar,Asia
Douglas,Isle of Man,Europe
Dublin,Ireland,Europe
Dushanbe,Tajikistan,Asia
Flying Fish Cove,Christmas Island,Oceania
Freetown,Sierra Leone,Africa
Funafuti,Tuvalu,Oceania
Gaborone,Botswana,Africa
George Town,Cayman Islands,North America
Georgetown,Ascension Island,British Overseas Territories
Georgetown,Guyana,South America
Gibraltar,Gibraltar,Europe
Gitega (de jure),Burundi,Africa
Bujumbura (de facto),Burundi,Africa
Guatemala City,Guatemala,North America
Gustavia,Saint Barthélemy,North America
Hagåtña,Guam,Oceania
Hamilton,Bermuda,North America
Hanoi,Vietnam,Asia
Harare,Zimbabwe,Africa
Hargeisa,Somaliland,Africa
Havana,Cuba,North America
Helsinki,Finland,Europe
Honiara,Solomon Islands,Oceania
Islamabad,Pakistan,Asia
Jakarta,Indonesia,Asia
Jamestown,Saint Helena,British Overseas Territories
Jerusalem,Israel,Asia
Jerusalem,Palestine,Asia
Ramallah (de facto),Palestine,Asia
Juba,South Sudan,Africa
Kabul,Afghanistan,Asia
Kampala,Uganda,Africa
Kathmandu,Nepal,Asia
Khartoum,Sudan,Africa
Kigali,Rwanda,Africa
King Edward Point,South Georgia and the South Sandwich Islands,British Overseas Territories
Kingston,Jamaica,North America
Kingston,Norfolk Island,Oceania
Kingstown,Saint Vincent and the Grenadines,North America
Kinshasa,Democratic Republic of the Congo,Africa
Kuala Lumpur (de jure legislative and royal),Malaysia,Asia
Putrajaya (administrative and judicial),Malaysia,Asia
Kuwait City,Kuwait,Asia
Kyiv,Ukraine,Europe
La Paz (administrative),Bolivia,South America
Sucre (constitutional),Bolivia,South America
Laayoune (declared),Western Sahara,Africa
Tifariti (de facto),Western Sahara,Africa
Libreville,Gabon,Africa
Lilongwe,Malawi,Africa
Lima,Peru,South America
Lisbon,Portugal,Europe
Ljubljana,Slovenia,Europe
Lobamba (royal and legislative),Eswatini,Africa
Mbabane (administrative),Eswatini,Africa
Lomé,Togo,Africa
London,United Kingdom,Europe
London (administration),British Indian Ocean Territory,British Overseas Territories
Diego Garcia (de facto),British Indian Ocean Territory,British Overseas Territories
Luanda,Angola,Africa
Lusaka,Zambia,Africa
Luxembourg,Luxembourg,Europe
Madrid,Spain,Europe
Majuro,Marshall Islands,Oceania
Malabo,Equatorial Guinea,Africa
Malé,Maldives,Asia
Managua,Nicaragua,North America
Manama,Bahrain,Asia
Manila,Philippines,Asia
Maputo,Mozambique,Africa
Mariehamn,Åland Islands,Europe
Marigot,Saint Martin,North America
Maseru,Lesotho,Africa
Mata Utu,Wallis and Futuna,Oceania
Mexico City,Mexico,North America
Minsk,Belarus,Europe
Mogadishu,Somalia,Africa
Monaco,Monaco,Europe
